confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Sub-counterpart (),,,47882,{},,mama,47883,34769,42445
,Exact counterpart (),,,47883,{},,daj (taj) dad,47884,35164,41888
,Exact counterpart (),,,47884,{},,"silei, sülei",47885,35164,42891
,Para-counterpart (),,,47885,{},,rom,47886,35559,42800
,Para-counterpart (),,,47886,{},,romni,47887,35954,42801
,Super-counterpart (),,,47887,{},,čhá,47888,36349,41810
,Super-counterpart (),,,47888,{},,čhaj,47889,36744,41811
,Super-counterpart (),,,47889,{},,čhá,47890,37534,41810
,Exact counterpart (),,,47890,{},,pral,47891,37929,42748
,Exact counterpart (),,,47891,{},,phen,47892,39114,42686
,Exact counterpart (),,,47892,{},,prala pheňa,47893,40299,42749
,Exact counterpart (),,,47893,{},,teštvírno,47894,40299,43010
,Super-counterpart (),,,47894,{},,kettéšno,47895,40694,42281
,Exact counterpart (),,,47895,{},,papu,47896,41089,42639
,Exact counterpart (),,,47896,{},,phúro (2),47897,41484,42708
,Exact counterpart (),,,47897,{},,baba,47898,41879,41674
,Exact counterpart (),,,47898,{},,phúri,47899,42274,42706
,Super-counterpart (),,,47899,{},,onoka (1),47900,42669,42592
,Super-counterpart (),,,47900,{},,onoka (2),47901,43064,42593
,Super-counterpart (),,,47901,{},,onoka (1),47902,566044,42592
,Exact counterpart (),,,47902,{},,dakero pral,47903,43854,41890
,Exact counterpart (),,,47903,{},,dadeskero pral,47904,44249,41885
,Exact counterpart (),,,47904,{},,dakeri phen,47905,45039,41889
,Exact counterpart (),,,47905,{},,dadeskeri phen,47906,45434,41884
,Para-counterpart (),,,47910,{},,praleskero čhá,47911,45829,42751
,Para-counterpart (),,,47911,{},,pheňakero čhá,47912,45829,42688
,Sub-counterpart (),,,47912,{},,praleskeri čhaj,47913,46224,42750
,Sub-counterpart (),,,47913,{},,pheňakeri čhaj,47914,46224,42687
,Sub-counterpart (),,,47914,{},,onokateštvírno,47915,46619,42595
,Sub-counterpart (),,,47915,{},,onokateštvíro,47916,46619,42596
,Sub-counterpart (),,,47916,{},,onokateštvírkiňa,47917,46619,42594
,Super-counterpart (),,,47917,{},,sástro,47918,47804,42841
,Super-counterpart (),,,47918,{},,apóši,47919,47804,41649
,Super-counterpart (),,,47919,{},,sástro,47920,48199,42841
,Super-counterpart (),,,47920,{},,apóši,47921,48199,41649
,Super-counterpart (),,,47929,{},,sasuj,47930,48594,42842
,Super-counterpart (),,,47930,{},,aňóša,47931,48594,41647
,Super-counterpart (),,,47931,{},,aňóškiňa,47932,48594,41648
,Super-counterpart (),,,47932,{},,sasuj,47933,48989,42842
,Super-counterpart (),,,47933,{},,aňóša,47934,48989,41647
,Super-counterpart (),,,47934,{},,aňóškiňa,47935,48989,41648
,Super-counterpart (),,,47935,{},,vėjo,47936,49384,43108
,Super-counterpart (),,,47936,{},,vėjo,47937,49779,43108
,Super-counterpart (),,,47937,{},,bóri,47938,50174,41756
,Super-counterpart (),,,47938,{},,meňėčkė,47939,50174,42463
,Super-counterpart (),,,47939,{},,bóri,47940,50569,41756
,Super-counterpart (),,,47940,{},,meňėčkė,47941,50569,42463
,Super-counterpart (),,,47941,{},,šógori,47942,567624,42923
,Sub-counterpart (),,,47942,{},,šógorkiňa,47943,567624,42924
,Exact counterpart (),,,47944,{},,moštóno dad,47945,50964,42497
,Exact counterpart (),,,47945,{},,moštóni daj,47946,51359,42494
,Super-counterpart (),,,47948,{},,moštóno čhá,47949,51754,42496
,Exact counterpart (),,,47949,{},,moštóni čhaj,47950,52149,42493
,Exact counterpart (),,,47950,{},,árvasto,47951,52544,41655
,Exact counterpart (),,,47951,{},,phivli džuvli,47952,52939,42701
,Exact counterpart (),,,47952,{},,özvėdni,47953,52939,42612
,Exact counterpart (),,,47953,{},,özvėdni džuvli,47954,52939,42613
,Exact counterpart (),,,47954,{},,özvėdno,47955,53334,42614
,Exact counterpart (),,,47955,{},,özvėdno murš,47956,53334,42615
,Exact counterpart (),,,47956,{},,rokoňi,47957,53729,42798
,Super-counterpart (),,,47957,{},,rokoňšágo,47958,53729,42799
,Super-counterpart (),,,47958,{},,čaládo,47959,54124,41784
,Exact counterpart (),,,47959,{},,me,47960,54519,42458
,Exact counterpart (),,,47960,{},,tu,47961,54914,43052
,Exact counterpart (),,,47961,{},,ój (1),47962,568019,42577
,Exact counterpart (),,,47962,{},,ój (2),47963,568414,42578
,Super-counterpart (),,,47963,{},,odá,47964,568809,42573
,Exact counterpart (),,,47964,{},,amen,47965,55704,41632
,Exact counterpart (),,,47965,{},,tumen,47966,56889,43054
,Exact counterpart (),,,47966,{},,ón,47967,57284,42588
,Super-counterpart (),,,47967,{},,áloto,47968,57679,41631
,Super-counterpart (),,,47968,{},,muršikáno,47969,58074,42517
,Super-counterpart (),,,47969,{},,džuvlikáno,47970,58469,41975
,Super-counterpart (),,,47970,{},,áloto,47971,58864,41631
,Exact counterpart (),,,47971,{},,lėgėló,47972,59259,42393
,Exact counterpart (),,,47972,{},,"ištálló, ištállóva, ištálla",47973,60049,42159
,Super-counterpart (),,,47973,{},,bika,47974,60839,41731
,Super-counterpart (),,,47974,{},,bika,47975,61234,41731
,Exact counterpart (),,,47975,{},,gurumni,47976,61629,42088
,Exact counterpart (),,,47976,{},,borjúko,47977,62024,41757
,Exact counterpart (),,,47977,{},,bakro,47978,62419,41677
,Super-counterpart (),,,47978,{},,báránka,47979,63604,41697
,Exact counterpart (),,,47979,{},,kano,47980,63999,42228
,Sub-counterpart (),,,47980,{},,vadno bálo,47981,63999,43088
,Exact counterpart (),,,47981,{},,bálo,47982,64789,41682
,Super-counterpart (),,,47982,{},,baličho,47983,64789,41681
,Exact counterpart (),,,47983,{},,"kėčkė, kėčka",47984,65184,42246
,Exact counterpart (),,,47984,{},,gra,47985,66369,42080
,Exact counterpart (),,,47985,{},,čéderi,47986,66764,41795
,Exact counterpart (),,,47986,{},,čikó,47987,67554,41840
,Exact counterpart (),,,47987,{},,samara,47988,67949,42824
,Exact counterpart (),,,47988,{},,kokaši,47989,69134,42335
,Exact counterpart (),,,47990,{},,kaňhi,47991,69529,42227
,Exact counterpart (),,,47991,{},,čibóka,47992,69924,41829
,Exact counterpart (),,,47992,{},,papiň,47993,70319,42634
,Exact counterpart (),,,47993,{},,káča,47994,70714,42204
,Exact counterpart (),,,47994,{},,ficko,47995,71109,42024
,Exact counterpart (),,,47995,{},,čirikli,47996,71504,41851
,Exact counterpart (),,,47996,{},,bérmadara,47997,73874,41718
,Exact counterpart (),,,47997,{},,papagáji,47998,74269,42632
,Exact counterpart (),,,47998,{},,varjú,47999,74664,43102
,Exact counterpart (),,,47999,{},,varjúka,48000,74664,43103
,Super-counterpart (),,,48000,{},,galamba,48001,75059,42054
,Exact counterpart (),,,48001,{},,čuviko,48002,75454,41882
,Exact counterpart (),,,48002,{},,džukel,48003,75849,41971
,Super-counterpart (),,,48003,{},,šošoj,48004,76244,42937
,Exact counterpart (),,,48004,{},,mačka (1),48005,76639,42435
,Sub-counterpart (),,,48005,{},,pociko,48006,77429,42730
,Sub-counterpart (),,,48006,{},,patkáňi,48007,77429,42657
,Exact counterpart (),,,48007,{},,máčho,48008,77824,42434
,Exact counterpart (),,,48008,{},,haja,48009,78614,42094
,Exact counterpart (),,,48009,{},,čiga,48010,79404,41834
,Exact counterpart (),,,48010,{},,žraloko,48011,79799,43170
,Sub-counterpart (),,,48011,{},,delfíno,48012,37139,41903
,Exact counterpart (),,,48012,{},,velriba,48013,80194,43110
,Exact counterpart (),,,48013,{},,úhori,48014,80984,43063
,Exact counterpart (),,,48014,{},,kijócko máčho,48015,80984,42304
,Exact counterpart (),,,48015,{},,farkaši,48016,81379,42008
,Exact counterpart (),,,48016,{},,orosláňa,48017,81774,42601
,Exact counterpart (),,,48019,{},,"mėdvė, mėdva",48020,82169,42459
,Exact counterpart (),,,48020,{},,róka,48021,82564,42797
,Exact counterpart (),,,48021,{},,sarvaši,48022,82959,42838
,Exact counterpart (),,,48022,{},,majmo,48023,83354,42440
,Exact counterpart (),,,48023,{},,elefanto,48024,83749,41978
,Exact counterpart (),,,48024,{},,"púpoštėvė, púpoštėva",48025,84144,42763
,Super-counterpart (),,,48025,{},,bugari,48026,84539,41763
,Exact counterpart (),,,48026,{},,džuv,48027,84934,41973
,Super-counterpart (),,,48027,{},,pišum,48028,554589,42725
,Exact counterpart (),,,48028,{},,likh,48029,85329,42408
,Super-counterpart (),,,48029,{},,pišum,48030,85724,42725
,Exact counterpart (),,,48030,{},,šelprengeri patmačka,48031,86119,42855
,Exact counterpart (),,,48031,{},,škorpióni,48032,86514,42909
,Exact counterpart (The word may be a nonce loanword.),,,48032,{},,švábo,48033,86909,42963
,Exact counterpart (),,,48033,{},,hanďa,48034,87304,42109
,Exact counterpart (),,,48034,{},,póko,48035,87699,42735
,Exact counterpart (),,,48035,{},,pókháló,48036,88094,42733
,Exact counterpart (),,,48036,{},,"míhėčkė, míhėčka",48037,88489,42470
,Super-counterpart (),,,48037,{},,fullánka,48038,88489,42043
,Exact counterpart (),,,48038,{},,daráža,48039,89674,41899
,Super-counterpart (),,,48039,{},,fullánka,48040,89674,42043
,Exact counterpart (),,,48040,{},,"máťhi, máťha",48041,90069,42456
,Exact counterpart (),,,48041,{},,súňoga,48042,90859,42955
,Exact counterpart (),,,48042,{},,kullánča,48043,558539,42365
,Exact counterpart (),,,48043,{},,ťirmo,48044,91254,43031
,Exact counterpart (),,,48044,{},,kijó,48045,91649,42303
,Super-counterpart (),,,48045,{},,šošoj,48046,547479,42937
,Exact counterpart (),,,48046,{},,mókuši,48047,548664,42485
,Exact counterpart (),,,48047,{},,kengura,48048,559329,42259
,Exact counterpart (),,,48048,{},,jaguári,48049,560514,42187
,Exact counterpart (),,,48049,{},,búvoli,48050,563674,41778
,Exact counterpart (),,,48050,{},,lėpkė,48051,92439,42402
,"Exact counterpart (The collocation also has the non-lexicalized meaning ‘small/little horse’, which can be used for ‘foal, colt’.)",,,48051,{},,tikno gra,48052,92834,43024
,Exact counterpart (),,,48052,{},,čigabiga,48053,93229,41835
,Exact counterpart (),,,48053,{},,bíka,48054,93624,41732
,Exact counterpart (),,,48054,{},,ďíko,48055,94019,41924
,Exact counterpart (),,,48055,{},,krokodíli,48056,94414,42326
,Exact counterpart (),,,48056,{},,tėkňéšbíka,48057,94809,42993
,Exact counterpart (),,,48057,{},,tėšto,48058,95204,43009
,Super-counterpart (),,,48058,{},,cipa,48059,95599,41848
,Super-counterpart (),,,48059,{},,mas,48060,95994,42453
,Exact counterpart (),,,48060,{},,bal,48061,96389,41678
,Exact counterpart (),,,48061,{},,hajsálo,48062,96389,42101
,Exact counterpart (),,,48062,{},,sakálla,48063,96784,42820
,Super-counterpart (),,,48063,{},,zár,48064,97179,43153
,Super-counterpart (),,,48064,{},,zár,48065,97574,43153
,Exact counterpart (),,,48065,{},,korpa,48066,97969,42354
,Exact counterpart (),,,48066,{},,rat (1),48067,98364,42778
,Exact counterpart (),,,48067,{},,era,48068,98759,41991
,Super-counterpart (),,,48068,{},,žila,48069,98759,43164
,Exact counterpart (),,,48069,{},,kokal,48070,99154,42334
,Exact counterpart (),,,48070,{},,pašváro,48071,99549,42652
,Exact counterpart (),,,48071,{},,ódalbordo,48072,99549,42574
,Exact counterpart (),,,48072,{},,sarva,48073,99944,42837
,Exact counterpart (),,,48073,{},,farka,48074,100339,41877
,Exact counterpart (),,,48074,{},,dumo,48075,100734,41952
,Exact counterpart (),,,48075,{},,hátgerinci,48076,101129,42121
,Exact counterpart (),,,48076,{},,šéro,48077,101524,42869
