confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Exact counterpart (),,,48237,{},,kopasno,48238,151294,42347
,Exact counterpart (),,,48238,{},,bénavo,48239,151689,41715
,Super-counterpart (),,,48239,{},,bango,48240,151689,41693
,Exact counterpart (),,,48240,{},,kašuko,48241,152084,42242
,Exact counterpart (),,,48241,{},,nímavo,48242,152479,42559
,Exact counterpart (),,,48242,{},,koro,48243,152874,42353
,Exact counterpart (),,,48243,{},,máto,48244,153269,42457
,Exact counterpart (),,,48244,{},,nango,48245,153664,42535
,Exact counterpart (),,,48245,{},,han,48246,154059,42108
,Super-counterpart (),,,48246,{},,hábe,48247,154454,42090
,Exact counterpart (),,,48247,{},,tádo,48248,154849,42968
,Exact counterpart (),,,48248,{},,jálo,48249,155244,42190
,Exact counterpart (),,,48249,{},,íretno,48250,155639,42170
,Exact counterpart (),,,48250,{},,pošvatno,48251,156429,42744
,Super-counterpart (),,,48251,{},,pijen,48252,156824,42713
,Exact counterpart (),,,48252,{},,khapaven,48253,156824,42296
,Exact counterpart (),,,48253,{},,bokhajon,48254,157219,41753
,"Super-counterpart (The meaning of ‘famine’ would be usually specified by the modifier ‘big’ to the noun bokh ‘hunger’: bari bokh ‘big hunger, famine’.)",,,48254,{},,bokh,48255,157614,41752
,Exact counterpart (),,,48255,{},,trušajon,48256,158009,43051
,Exact counterpart (),,,48256,{},,oven trušálo,48257,158009,42611
,Super-counterpart (),,,48257,{},,pijen,48258,158404,42713
,Super-counterpart (),,,48258,{},,ciden,48259,158404,41831
,Super-counterpart (),,,48259,{},,ráginen,48260,158799,42771
,Sub-counterpart (),,,48260,{},,žuvačkázinen,48261,158799,43176
,Exact counterpart (),,,48261,{},,nakhaven,48262,159194,42530
,Super-counterpart (),,,48262,{},,tasaven,48263,159589,42983
,Super-counterpart (),,,48263,{},,tassaren,48264,159589,42984
,Exact counterpart (),,,48264,{},,táven,48265,159984,42989
,Exact counterpart (),,,48265,{},,kerďol,48266,160379,42264
,Super-counterpart (),,,48266,{},,peken,48267,160774,42659
,Super-counterpart (),,,48267,{},,peken,48268,161169,42659
,Exact counterpart (),,,48268,{},,péťa,48269,161564,42675
,Exact counterpart (),,,48269,{},,kėmėncė,48270,161564,42255
,Super-counterpart (),,,48270,{},,píri,48271,161959,42721
,Sub-counterpart (),,,48271,{},,"šėrpėňó, šėrpėňóva",48272,161959,42870
,Super-counterpart (),,,48272,{},,píri,48273,162354,42721
,Sub-counterpart (),,,48273,{},,kávéfézó,48274,162354,42243
,Exact counterpart (),,,48274,{},,palacinkašító,48275,162749,42618
,Super-counterpart (),,,48275,{},,čáro,48276,163144,41791
,Exact counterpart (),,,48276,{},,táňíri,48277,163539,42978
,Super-counterpart (),,,48277,{},,čáro,48278,163934,41791
,Exact counterpart (),,,48278,{},,koršó,48279,164329,42355
,Exact counterpart (),,,48279,{},,kúči,48280,164724,42364
,Exact counterpart (),,,48280,{},,roj,48281,165514,42796
,Super-counterpart (),,,48281,{},,čhúri,48282,165909,41828
,Super-counterpart (),,,48282,{},,vella,48283,166304,43109
,Exact counterpart (),,,48283,{},,fogó,48284,166699,42034
,Super-counterpart (),,,48284,{},,hábe,48285,167094,42090
,Exact counterpart (),,,48285,{},,reggeli,48286,167489,42782
,Exact counterpart (),,,48286,{},,ebído,48287,167884,41976
,Exact counterpart (),,,48287,{},,vačora,48288,168674,43084
,Exact counterpart (),,,48288,{},,šužaren,48289,169069,42960
,Sub-counterpart (),,,48289,{},,sitálinen,48290,169464,42905
,Sub-counterpart (),,,48290,{},,čujaren,48291,169464,41871
,Sub-counterpart (),,,48291,{},,šužaren,48292,169859,42960
,Exact counterpart (),,,48292,{},,pucolinen,48293,169859,42762
,Exact counterpart (),,,48293,{},,kėvėrinen,48294,170254,42283
,Exact counterpart (),,,48294,{},,máro,48295,170649,42432
,Exact counterpart (The elicited meaning ‘dough’ may be due to misunderstanding; the item needs to be checked.),,,48296,{},,kovási,48297,171044,42360
,Para-counterpart (),,,48297,{},,humer,48298,171044,42151
,Exact counterpart (),,,48298,{},,dagastinen,48299,171439,41886
,Para-counterpart (),,,48299,{},,ďúrinen,48300,171439,41955
,Exact counterpart (),,,48300,{},,járo,48301,171834,42192
,Para-counterpart (),,,48301,{},,ďúrinen,48302,172229,41955
,Super-counterpart (),,,48302,{},,phageren,48303,172229,42680
,Sub-counterpart (),,,48303,{},,élinen,48304,172229,41981
,Exact counterpart (),,,48304,{},,mlíno,48305,172624,42483
,Super-counterpart (),,,48305,{},,mas,48306,173809,42453
,Super-counterpart (),,,48307,{},,gój,48308,174204,42072
,Sub-counterpart (),,,48308,{},,kóbáskiňa,48309,174204,42328
,Exact counterpart (),,,48309,{},,zumi,48310,174599,43173
,Exact counterpart (),,,48310,{},,zéčígo,48311,174994,43157
,Exact counterpart (),,,48311,{},,babo,48312,175389,41675
,Exact counterpart (),,,48312,{},,krumpja,48313,175784,42343
,Exact counterpart (),,,48313,{},,ďiméčo,48314,176179,41930
,Super-counterpart (),,,48314,{},,čomó,48315,176574,41860
,Exact counterpart (),,,48318,{},,figa,48319,176969,42025
,Super-counterpart (),,,48319,{},,"sélló, séllóva",48320,177364,42854
,Exact counterpart (),,,48320,{},,ákhor,48321,177759,41619
,Exact counterpart (),,,48321,{},,oliva,48322,178154,42585
,Exact counterpart (),,,48322,{},,olaji,48323,178549,42584
,Exact counterpart (),,,48323,{},,čiken,48324,178944,41839
,Exact counterpart (),,,48324,{},,lon,48325,179339,42417
,Exact counterpart (),,,48325,{},,pepšo,48326,179734,42666
,Super-counterpart (),,,48326,{},,paprika,48327,180129,42638
,Exact counterpart (),,,48327,{},,míza,48328,180524,42482
,Exact counterpart (),,,48328,{},,cukro,48329,180919,41796
,Exact counterpart (),,,48329,{},,thud,48330,181314,43020
,Exact counterpart (),,,48330,{},,pišen,48331,181709,42723
,Exact counterpart (),,,48331,{},,šajto,48332,182104,42819
,Sub-counterpart (),,,48332,{},,ťiral,48333,182104,43029
,Exact counterpart (),,,48333,{},,ťhil,48334,182499,43016
,Sub-counterpart (),,,48334,{},,italo,48335,182894,42160
,Exact counterpart (),,,48335,{},,mol (1),48336,183684,42486
,Exact counterpart (),,,48336,{},,šero,48337,184079,42868
,Exact counterpart (),,,48337,{},,tojáši,48338,184869,43033
,Exact counterpart (),,,48338,{},,kaňhajáro,48339,184869,42226
,Exact counterpart (),,,48339,{},,žuto (2),48340,185264,43175
,Exact counterpart (),,,48340,{},,urďen,48341,185659,43074
,Super-counterpart (),,,48341,{},,gáda,48342,186054,42051
,Exact counterpart (),,,48342,{},,sabó,48343,186449,42813
,Exact counterpart (),,,48343,{},,varó,48344,186449,43104
,Super-counterpart (),,,48344,{},,aňago,48345,186844,41634
,Exact counterpart (),,,48345,{},,ďapjúšno aňago,48346,187239,41895
,Exact counterpart (),,,48346,{},,ďapjúaňago,48347,187239,41894
,Exact counterpart (),,,48347,{},,vásoňi,48348,187634,43105
,Exact counterpart (),,,48348,{},,pamuko,48349,188029,42627
,Exact counterpart (),,,48349,{},,šėjmo,48350,188424,42849
,Super-counterpart (),,,48350,{},,bunda,48351,189214,41770
,Super-counterpart (),,,48351,{},,cipa,48352,189609,41848
,Super-counterpart (),,,48352,{},,ketinen,48353,190794,42280
,Exact counterpart (),,,48353,{},,siven,48354,191584,42908
,Exact counterpart (),,,48354,{},,sú,48355,191979,42947
,Exact counterpart (),,,48355,{},,cérna,48356,192769,41808
,Super-counterpart (),,,48356,{},,fėštinen,48357,193164,42023
,Exact counterpart (),,,48357,{},,palášťa,48358,193559,42619
,Para-counterpart (),,,48358,{},,keppeňi,48359,193954,42262
,Super-counterpart (),,,48359,{},,gáda,48360,194744,42051
,Exact counterpart (),,,48360,{},,kabáto,48361,195139,42203
,Exact counterpart (),,,48361,{},,gad,48362,195534,42050
,Exact counterpart (),,,48362,{},,gallíra,48363,195929,42055
,Exact counterpart (),,,48363,{},,pasterni,48364,196324,42651
,Exact counterpart (),,,48364,{},,holev,48365,197114,42144
,Sub-counterpart (),,,48365,{},,zokni,48366,197509,43167
,Sub-counterpart (),,,48366,{},,harišňa,48367,197509,42115
,Sub-counterpart (),,,48367,{},,fusekla,48368,197509,42046
,Exact counterpart (),,,48368,{},,topánka,48369,197904,43037
,Super-counterpart (),,,48369,{},,čuka,48370,197904,41873
,Exact counterpart (),,,48370,{},,ťirhaj,48371,198299,43030
,Exact counterpart (),,,48371,{},,šusteri,48372,198694,42957
,Sub-counterpart (),,,48372,{},,kalapa,48373,199089,42209
,Sub-counterpart (),,,48373,{},,šipka,48374,199089,42897
,Super-counterpart (),,,48374,{},,síja,48375,199484,42880
,Exact counterpart (),,,48375,{},,"kesťú, kesťúva",48376,199879,42279
,Exact counterpart (),,,48376,{},,fáťuli,48377,200274,42010
,Exact counterpart (),,,48377,{},,posiťi,48378,200669,42742
,Exact counterpart (),,,48378,{},,gombo,48379,201064,42073
,Exact counterpart (),,,48379,{},,špendlíko,48380,201459,42940
,Exact counterpart (),,,48380,{},,gembešťú,48381,201459,42060
,Exact counterpart (),,,48381,{},,díso,48382,201854,41932
,Exact counterpart (),,,48383,{},,šperko,48384,202249,42941
,Exact counterpart (),,,48385,{},,angrusti,48386,202644,41645
,Exact counterpart (),,,48386,{},,"kėrpėlėcė, kėrpėlėca",48387,203039,42278
,Super-counterpart (),,,48387,{},,lánco,48388,203434,42379
,Exact counterpart (),,,48388,{},,mirikli,48389,203829,42479
,Super-counterpart (),,,48389,{},,ďenďo,48390,203829,41908
,Exact counterpart (),,,48390,{},,"fingó, fingóva",48391,204224,42026
,Sub-counterpart (),,,48391,{},,čelenka,48392,204619,41800
,Exact counterpart (),,,48392,{},,tetováláši,48393,205014,43011
,Sub-counterpart (),,,48393,{},,žepkendó,48394,205409,43162
,Sub-counterpart (),,,48394,{},,ronďo,48395,205409,42802
,Sub-counterpart (),,,48395,{},,patavo,48396,205409,42655
,Exact counterpart (),,,48396,{},,teríkezó,48397,205804,43005
,Exact counterpart (),,,48397,{},,kángli,48398,206199,42225
,Exact counterpart (),,,48398,{},,hulaven,48399,206199,42149
,Exact counterpart (),,,48399,{},,"kėfė, kėfa",48400,206594,42252
,Exact counterpart (),,,48400,{},,konťo,48401,206989,42341
,Exact counterpart (),,,48401,{},,beretva,48402,207384,41717
,Exact counterpart (),,,48402,{},,kėnéčė,48403,207779,42257
,Exact counterpart (),,,48403,{},,sapuňi,48404,208174,42833
,Exact counterpart (),,,48404,{},,ďíkeri,48405,208569,41920
,Super-counterpart (),,,48405,{},,bešen,48406,208964,41722
,Super-counterpart (),,,48406,{},,kher,48407,209359,42298
,Exact counterpart (),,,48407,{},,"guňhó, guňhóva",48408,209754,42085
,Sub-counterpart (),,,48408,{},,stano,48409,210544,42945
,Sub-counterpart (),,,48409,{},,šátori,48410,210544,42843
,Exact counterpart (),,,48410,{},,udvara,48411,210939,43062
,Para-counterpart (),,,48411,{},,koňha,48412,211729,42340
,Sub-counterpart (),,,48412,{},,soba,48413,212519,42916
,Sub-counterpart (),,,48413,{},,hejšígo,48414,212519,42129
,Sub-counterpart (),,,48414,{},,vuder,48415,212914,43149
,Sub-counterpart (),,,48415,{},,kaputa,48416,212914,42230
,Exact counterpart (),,,48416,{},,futro,48417,213309,42047
,Exact counterpart (),,,48417,{},,zárubňa,48418,213309,43155
,Exact counterpart (),,,48418,{},,ajtóragastó,48419,213309,41613
,Exact counterpart (),,,48419,{},,záro,48420,213704,43154
,Exact counterpart (),,,48420,{},,reteza,48421,214099,42790
,Super-counterpart (),,,48421,{},,"kallanťú, kallanťúva",48422,214099,42211
,Exact counterpart (),,,48422,{},,lakato,48423,570389,42375
,Exact counterpart (),,,48423,{},,klúčo,48424,214494,42325
,Exact counterpart (),,,48424,{},,bloka,48425,214889,41747
,Sub-counterpart (),,,48425,{},,paló,48426,215284,42624
,Para-counterpart (),,,48426,{},,phú,48427,215284,42703
,Sub-counterpart (),,,48427,{},,ėmėlėto,48428,215284,41780
,Exact counterpart (),,,48428,{},,falo,48429,215679,42005
,Sub-counterpart (),,,48429,{},,kandalló,48430,216074,42222
,Exact counterpart (),,,48430,{},,kájha,48431,216469,42208
,Sub-counterpart (),,,48431,{},,šporhelto,48432,216469,42943
,Exact counterpart (),,,48432,{},,kímíňi,48433,216864,42307
,Exact counterpart (),,,48433,{},,létra,48434,194349,42404
,Exact counterpart (),,,48434,{},,vodro,48435,217259,43145
,Super-counterpart (),,,48435,{},,than,48436,217259,43014
,Exact counterpart (),,,48436,{},,perníca,48437,217654,42673
,Sub-counterpart (),,,48437,{},,šerand,48438,217654,42865
,Exact counterpart (),,,48438,{},,"pokróca, pakróca",48439,218049,42736
,Exact counterpart (),,,48439,{},,takaró,48440,218049,42972
,Sub-counterpart (),,,48440,{},,paplaňi,48441,218049,42636
,Sub-counterpart (),,,48441,{},,larisa,48442,218049,42384
,Exact counterpart (),,,48442,{},,séko,48443,218444,42850
,Exact counterpart (),,,48443,{},,kafidi,48444,218839,42206
,Sub-counterpart (),,,48444,{},,lampa,48445,219234,42376
,Sub-counterpart (),,,48445,{},,lampáši,48446,219234,42378
,Sub-counterpart (),,,48446,{},,villalampa,48447,219234,43136
,Exact counterpart (),,,48447,{},,ďerťa,48448,219629,41912
,Exact counterpart (),,,48448,{},,póco,48449,220024,42731
,Sub-counterpart (),,,48449,{},,polička,48450,220024,42737
,Sub-counterpart (),,,48450,{},,regáli,48451,220024,42781
,Exact counterpart (),,,48451,{},,kopana,48452,220419,42346
,Exact counterpart (),,,48452,{},,serha,48453,220814,42867
,Exact counterpart (),,,48453,{},,gerenda,48454,222394,42065
,Exact counterpart (),,,48454,{},,oslopo,48455,222789,42605
,Exact counterpart (),,,48455,{},,deska,48456,223184,41914
,Exact counterpart (),,,48456,{},,klenba,48457,223579,42322
,Exact counterpart (),,,48458,{},,kémívėši,48459,223974,42256
,Exact counterpart (),,,48459,{},,tégla,48460,224369,42991
,Exact counterpart (),,,48460,{},,malta,48461,224764,42444
,Exact counterpart (),,,48461,{},,válka,48462,225159,43096
,Exact counterpart (),,,48462,{},,tábori,48463,556564,42967
,Para-counterpart (),,,48463,{},,hinta,48464,561304,42138
,Exact counterpart (),,,48464,{},,hállóhinta,48465,561304,42106
,Super-counterpart (),,,48467,{},,gazda,48468,225554,42058
,Sub-counterpart (),,,48468,{},,jezeďáko,48469,225554,42199
,Super-counterpart (),,,48469,{},,phú,48470,225949,42703
,Exact counterpart (),,,48470,{},,bár (2),48471,226344,41696
,Exact counterpart (),,,48471,{},,kerítíši,48472,227134,42275
,Exact counterpart (),,,48472,{},,járko,48473,227529,42191
,Exact counterpart (),,,48473,{},,sántinen,48474,227924,42831
,Exact counterpart (),,,48474,{},,kapálinen,48475,228714,42214
,Exact counterpart (),,,48475,{},,ášó,48476,229109,41661
,Exact counterpart (),,,48476,{},,lapáta,48477,229504,42381
,Exact counterpart (),,,48477,{},,kapa,48478,229899,42213
,Super-counterpart (),,,48478,{},,vella,48479,230294,43109
,Exact counterpart (),,,48479,{},,gėrėblė,48480,230689,42064
,Super-counterpart (),,,48480,{},,čhiven,48481,231084,41822
,Super-counterpart (),,,48481,{},,mago,48482,231479,42439
,Exact counterpart (),,,48483,{},,kasálinen,48484,231874,42239
,Sub-counterpart (),,,48484,{},,"šalló, šallóva",48485,232269,42823
,Sub-counterpart (),,,48485,{},,kasa,48486,232269,42238
,Exact counterpart (),,,48486,{},,aratáši,48487,233454,41651
,Exact counterpart (),,,48487,{},,gabona,48488,233849,42048
,Sub-counterpart (),,,48488,{},,semo,48489,233849,42859
,Exact counterpart (),,,48489,{},,šužo jiv,48490,234244,42962
,Exact counterpart (),,,48490,{},,arpa,48491,234639,41620
,Exact counterpart (),,,48491,{},,rožo,48492,235034,42805
,Exact counterpart (),,,48492,{},,zabo,48493,235429,43150
,Exact counterpart (),,,48493,{},,bobo,48494,235824,41748
,Exact counterpart (),,,48494,{},,riža,48495,236219,42794
,Exact counterpart (),,,48495,{},,"mezó, mezóva",48496,236614,42467
,Exact counterpart (),,,48496,{},,sína,48497,237009,42894
,Super-counterpart (),,,48499,{},,zelenipe,48500,237404,43158
,Exact counterpart (),,,48500,{},,ítėtinen,48501,237799,42180
,Super-counterpart (),,,48501,{},,tėvo,48502,238194,43012
,Exact counterpart (),,,48502,{},,ága,48503,238589,41612
,Sub-counterpart (),,,48503,{},,"fentó, fentóva",48504,238589,42021
,Exact counterpart (),,,48504,{},,"lėvėlė, lėvėla",48505,238984,42406
,Exact counterpart (),,,48505,{},,virága,48506,239379,43140
,Exact counterpart (),,,48506,{},,luluďi,48507,239379,42429
,Super-counterpart (),,,48507,{},,kašt,48508,239774,42240
,Exact counterpart (The word may be a nonce loanword.),,,48508,{},,telďo,48509,240169,42994
,Exact counterpart (),,,48510,{},,biko,48511,240564,41735
,Exact counterpart (),,,48513,{},,makko,48514,242144,42443
,Super-counterpart (),,,48514,{},,"sélló, séllóva",48515,242539,42854
,Exact counterpart (),,,48515,{},,duhano,48516,242934,41946
,Sub-counterpart (),,,48516,{},,cigarettázinen,48517,243329,41837
,Super-counterpart (),,,48517,{},,pijen,48518,243329,42713
,Exact counterpart (),,,48518,{},,pípa,48519,243724,42718
,Exact counterpart (),,,48519,{},,"tékó, tékóva",48520,244119,42663
,Exact counterpart (),,,48525,{},,terčo,48526,244514,43002
,Super-counterpart (),,,48526,{},,cipa,48527,245304,41848
,Exact counterpart (),,,48527,{},,eňva,48528,245699,41989
,Exact counterpart (),,,48528,{},,palma,48529,246094,42623
,Exact counterpart (),,,48530,{},,kokosi,48531,246489,42336
,Sub-counterpart (),,,48531,{},,citroňi,48532,246884,41854
,Sub-counterpart (),,,48532,{},,naranči,48533,246884,42537
,Exact counterpart (),,,48533,{},,banáno,48534,247279,41689
,Super-counterpart (),,,48534,{},,dudum,48535,249254,41944
,Super-counterpart (),,,48535,{},,dudum,48536,249649,41944
,Exact counterpart (),,,48536,{},,bambusi,48537,250044,41687
,Exact counterpart (),,,48537,{},,cukornádo,48538,250439,41876
,Exact counterpart (),,,48538,{},,čóváňi,48539,251229,41866
,Exact counterpart (),,,48539,{},,"huhur, huhura",48540,251624,42148
,Exact counterpart (),,,48540,{},,šiška,48541,554194,42903
,Super-counterpart (),,,48541,{},,keren,48542,252019,42266
,Super-counterpart (),,,48542,{},,keren,48543,575524,42266
,Super-counterpart (),,,48543,{},,búti,48544,252414,41776
,Exact counterpart (),,,48544,{},,dógozinen,48545,252414,41937
,Exact counterpart (),,,48545,{},,banďaren,48546,252809,41690
,Exact counterpart (),,,48546,{},,hajtinen,48547,253204,42102
,Exact counterpart (),,,48547,{},,phanden,48548,253599,42682
,Exact counterpart (),,,48548,{},,phanden ári,48549,253994,42683
,Super-counterpart (),,,48549,{},,lánco,48550,254389,42379
,Exact counterpart (),,,48550,{},,"šéllo, šélló",48551,254784,42853
,Super-counterpart (),,,48551,{},,čomó,48552,255179,41860
,Para-counterpart (),,,48552,{},,máren,48553,255574,42451
,Super-counterpart (),,,48553,{},,čalaven,48554,255574,41785
,Super-counterpart (),,,48554,{},,peken,48555,255574,42659
,Super-counterpart (),,,48555,{},,čalaven,48556,255969,41785
,Sub-counterpart (),,,48556,{},,čhinen,48557,256364,41819
,Sub-counterpart (),,,48557,{},,ňírinen,48558,256364,42563
,Sub-counterpart (),,,48558,{},,čúren,48559,256364,41881
,Exact counterpart (),,,48559,{},,čhoren téle,48560,256759,41826
,Super-counterpart (),,,48560,{},,čhingeren,48561,257154,41821
,Sub-counterpart (),,,48561,{},,saňaren,48562,257154,42827
,Super-counterpart (),,,48562,{},,phosaven,48563,257549,42702
,Super-counterpart (),,,48563,{},,čhúri,48564,257944,41828
,Exact counterpart (),,,48564,{},,"alló, allóva",48565,258339,41628
,Exact counterpart (),,,48565,{},,tover,48566,258734,43039
,Exact counterpart (),,,48566,{},,phagen,48567,259524,42679
,Super-counterpart (),,,48567,{},,rumime,48568,259919,42806
,Sub-counterpart (),,,48568,{},,phágo,48569,259919,42681
,Exact counterpart (),,,48569,{},,čhinen sít,48570,260314,41820
,Exact counterpart (),,,48570,{},,pharaven,48571,260709,42684
,Exact counterpart (),,,48571,{},,kušen,48572,261499,42368
,Exact counterpart (),,,48572,{},,dergelinen,48573,261894,41705
,Exact counterpart (),,,48573,{},,khosen,48574,576314,42299
,Para-counterpart (),,,48574,{},,ciden ári,48575,262289,41832
,Para-counterpart (),,,48575,{},,ciden sít,48576,262289,41833
,Super-counterpart (),,,48576,{},,ciden,48577,262684,41831
,Super-counterpart (),,,48577,{},,ciden ári,48578,263079,41832
,Exact counterpart (),,,48578,{},,akastinen,48579,263474,41617
,Super-counterpart (),,,48579,{},,"ňominen, ňuminen",48580,263869,42566
,Para-counterpart (),,,48580,{},,ňúzinen,48581,264264,42571
,Super-counterpart (),,,48581,{},,"ňominen, ňuminen",48582,264264,42566
,Exact counterpart (),,,48582,{},,ňomkodinen,48583,264264,42567
,Super-counterpart (),,,48583,{},,čhoren,48584,264659,41825
,Exact counterpart (),,,48584,{},,thoven (1),48585,265054,43017
,Exact counterpart (),,,48585,{},,šeprinen,48586,265449,42863
,Exact counterpart (),,,48586,{},,"šeprú, šeprúva",48587,265844,42864
,Exact counterpart (),,,48587,{},,sersámo,48588,266239,42871
,Exact counterpart (),,,48588,{},,áčo,48589,266634,41607
,Exact counterpart (),,,48589,{},,ípítinen,48590,267029,42169
,Exact counterpart (),,,48590,{},,fúrinen,48591,267424,42044
,Exact counterpart (),,,48591,{},,víšinen,48592,267819,43141
,Exact counterpart (),,,48592,{},,fírísi,48593,268214,42028
,Exact counterpart (),,,48593,{},,kalapáči,48594,268609,42210
,Exact counterpart (),,,48594,{},,klinco,48595,269004,42323
,Exact counterpart (),,,48595,{},,ragastó,48596,269399,41948
,Exact counterpart (),,,48596,{},,kováči,48597,269794,42359
,Exact counterpart (),,,48597,{},,ílló,48598,270584,42166
,Exact counterpart (),,,48598,{},,amoňi,48599,270584,41633
,Super-counterpart (),,,48599,{},,čhoren,48600,270979,41825
,Exact counterpart (),,,48600,{},,somnakaj,48601,271374,42932
,Exact counterpart (),,,48601,{},,araňo,48602,271374,41650
,Exact counterpart (),,,48602,{},,ėzišto,48603,271769,42002
,Super-counterpart (),,,48603,{},,trast,48604,272559,43041
,Exact counterpart (),,,48604,{},,ólmo,48605,272954,42586
,Sub-counterpart (),,,48606,{},,cíno,48607,273349,41847
,Sub-counterpart (),,,48607,{},,plého,48608,273349,42727
,Super-counterpart (),,,48612,{},,phú,48613,274534,42703
,Exact counterpart (),,,48613,{},,aďago,48614,274534,41610
,Super-counterpart (),,,48615,{},,caklo,48616,274929,41783
,Exact counterpart (),,,48616,{},,khuven,48617,275324,42300
,Exact counterpart (),,,48617,{},,košara,48618,275719,42356
,Super-counterpart (),,,48618,{},,séňėgo,48619,276114,42861
,Super-counterpart (),,,48619,{},,séňėgo,48620,276509,42861
,Exact counterpart (),,,48620,{},,cekkeri,48621,276904,41799
,Exact counterpart (),,,48621,{},,lėďezó,48622,277299,42391
,Exact counterpart (),,,48622,{},,lėďezinen,48623,277694,42390
,Exact counterpart (),,,48623,{},,balvajáren,48624,277694,41684
,Exact counterpart (),,,48624,{},,faraginen,48625,278089,42006
,Exact counterpart (),,,48625,{},,sobrási,48626,278484,42918
,Exact counterpart (),,,48626,{},,sobro,48627,261104,42919
,Exact counterpart (),,,48627,{},,víšó,48628,279274,43142
,Exact counterpart (),,,48628,{},,bumerango,48629,558934,41769
,Super-counterpart (),,,48629,{},,fėštíko,48630,279669,42022
,Super-counterpart (),,,48630,{},,fėštinen,48631,280064,42023
,Exact counterpart (),,,48631,{},,cidaven páňi,48632,562489,41830
,Super-counterpart (),,,48632,{},,íko,48633,562884,42163
,Sub-counterpart (),,,48633,{},,čipesi,48634,562884,41849
,Super-counterpart (),,,48634,{},,éllešító,48635,555774,41965
,Sub-counterpart (),,,48635,{},,mozginen,48636,280459,42503
,Sub-counterpart (),,,48636,{},,mozgatinel,48637,280459,42502
,Exact counterpart (),,,48637,{},,mozdítinen,48638,280459,42500
,Exact counterpart (),,,48638,{},,irinen,48639,280854,42174
,Exact counterpart (),,,48639,{},,irinďon,48640,281249,42173
,Exact counterpart (),,,48640,{},,irinen pe/pumen,48641,281249,42176
,Exact counterpart (),,,48641,{},,čomagolinen,48642,281644,41858
,Sub-counterpart (),,,48642,{},,ušinen,48643,282039,43075
,Para-counterpart (),,,48643,{},,šodrinen,48644,282039,42921
,Para-counterpart (),,,48644,{},,ďúrinen,48645,282039,41955
,Exact counterpart (),,,48645,{},,gurítinen,48646,282039,42087
,Super-counterpart (),,,48646,{},,muken,48647,282434,42507
,Super-counterpart (),,,48647,{},,čavarinen,48648,282829,41793
,Super-counterpart (),,,48648,{},,šodrinen,48649,282829,42921
,Super-counterpart (),,,48649,{},,ušťen,48650,283224,43077
,Super-counterpart (),,,48650,{},,džan upre,48651,283224,41966
,Para-counterpart (),,,48651,{},,ėmėlinen,48652,283619,41985
,Sub-counterpart (),,,48652,{},,vazden,48653,283619,43106
,Exact counterpart (),,,48653,{},,peren,48654,284014,42669
,Exact counterpart (),,,48654,{},,čepeginen,48655,284409,41804
,Exact counterpart (),,,48655,{},,čhiden,48656,284804,41818
,Super-counterpart (),,,48656,{},,astaren,48657,285199,41663
,Super-counterpart (),,,48657,{},,uštiden,48658,285199,43078
,Exact counterpart (),,,48658,{},,rezdaven,48659,285594,42792
,Exact counterpart (),,,48659,{},,tresinen,48660,285594,43042
,Exact counterpart (),,,48660,{},,čujon,48661,285989,41872
,Super-counterpart (),,,48661,{},,bukinen,48662,286384,41765
,Super-counterpart (),,,48662,{},,džan,48663,286779,41958
,Exact counterpart (),,,48663,{},,úsinen,48664,287174,43076
,Super-counterpart (),,,48664,{},,bukinen,48665,287569,41765
,Exact counterpart (),,,48665,{},,freččelinen,48666,287964,42042
,Exact counterpart (),,,48666,{},,"repilinen, repelinen",48667,288754,42785
,Exact counterpart (),,,48667,{},,phuden,48668,289149,42705
,Super-counterpart (),,,48668,{},,ťúsinen,48669,289544,43056
,Super-counterpart (),,,48669,{},,másinen,48670,289544,42455
,Exact counterpart (),,,48670,{},,terbėkelinen,48671,289939,43001
,Exact counterpart (),,,48671,{},,gugolinen,48672,290334,42081
,Super-counterpart (),,,48672,{},,ťúsinen,48673,290729,43056
,Super-counterpart (),,,48673,{},,ušťen,48674,291124,43077
,Exact counterpart (),,,48674,{},,pruťinen,48675,291519,42761
,Super-counterpart (),,,48675,{},,khelen,48676,291914,42297
,Exact counterpart (),,,48676,{},,phíren,48677,292309,42700
,Sub-counterpart (),,,48677,{},,šétálinen,48678,292309,42874
,Super-counterpart (),,,48678,{},,banďon,48679,292704,41691
,Super-counterpart (),,,48679,{},,nášen,48680,293099,42540
,Super-counterpart (),,,48680,{},,džan,48681,293494,41958
,Para-counterpart (),,,48681,{},,phíren,48682,293494,42700
,Super-counterpart (),,,48682,{},,džan upre,48683,293889,41966
,Super-counterpart (),,,48683,{},,másinen,48684,294284,42455
,Exact counterpart (),,,48684,{},,džan téle,48685,294679,41964
,Exact counterpart (),,,48685,{},,džan ári,48686,295074,41960
,Exact counterpart (),,,48686,{},,aven,48687,295469,41668
,Exact counterpart (),,,48687,{},,aven pále,48688,295864,41636
,Super-counterpart (),,,48688,{},,džan,48689,296259,41958
,Super-counterpart (),,,48689,{},,džan peske/pumenge,48690,296259,41962
,Super-counterpart (),,,48690,{},,naššon,48691,296654,42543
,Exact counterpart (),,,48691,{},,tílinen,48692,296654,43026
,Exact counterpart (),,,48692,{},,čhiven pe/pumen,48693,297049,41823
,Super-counterpart (),,,48693,{},,ňomozinen,48694,297839,42568
